Name,Location,Flag,Coat of Arms
Humacao,File:Locator-map-Puerto-Rico-Humacao.svg,60px-Flag_of_Humacao.svg.png,50px-Escudo_de_Humacao%2C_Puerto_Rico.svg.png
Isabela,File:Locator-map-Puerto-Rico-Isabela.svg,60px-Flag_of_Isabela.svg.png,50px-Escudo_de_Isabela%2C_Puerto_Rico.svg.png
Jayuya,File:Locator-map-Puerto-Rico-Jayuya.svg,60px-Flag_of_Jayuya.svg.png,50px-Escudo_de_Jayuya%2C_Puerto_Rico.svg.png
Juana Díaz,File:Locator-map-Puerto-Rico-Juana-D%C3%ADaz.svg,60px-Flag_of_Municipio_de_Juana_D%C3%ADaz.svg.png,50px-CoA_Municipio_de_Juana_D%C3%ADaz.svg.png
Juncos,File:Locator-map-Puerto-Rico-Juncos.svg,60px-Flag_of_Juncos.svg.png,50px-Coat_of_arms_of_Juncos%2C_Puerto_Rico.svg.png
Lajas,File:Locator-map-Puerto-Rico-Lajas.svg,60px-Flag_of_Lajas_%28PR%29.svg.png,50px-Escudo_de_Lajas%2C_Puerto_Rico.svg.png
Lares,File:Locator-map-Puerto-Rico-Lares.svg,60px-Flag_of_Grito_de_Lares_%28current%2C_medium_blue%29.svg.png,50px-Escudo_de_Lares%2C_Puerto_Rico.svg.png
Las Marías,File:Locator-map-Puerto-Rico-Las-Mar%C3%ADas.svg,60px-LasMarias.svg.png,50px-Escudo_de_Las_Mar%C3%ADas%2C_Puerto_Rico.svg.png
Las Piedras,File:Locator-map-Puerto-Rico-Las-Piedras.svg,60px-LasPiedrasFlag.svg.png,50px-Escudo_de_Las_Piedras%2C_Puerto_Rico.svg.png
Loíza,File:Locator-map-Puerto-Rico-Lo%C3%ADza.svg,60px-Loiza_Flag.svg.png,50px-Escudo_de_Loiza%2C_Puerto_Rico.svg.png
Luquillo,File:Locator-map-Puerto-Rico-Luquillo.svg,60px-Bandera_de_Luquillo.svg.png,50px-Escudo_de_Luquillo.svg.png
Manatí,File:Locator-map-Puerto-Rico-Manat%C3%AD.svg,60px-Flag_of_Manat%C3%AD.svg.png,50px-Blason_ville_pr_Manat%C3%AD.svg.png
Maricao,File:Locator-map-Puerto-Rico-Maricao.svg,60px-Flag_of_Maricao.svg.png,50px-Escudo_de_Maricao%2C_Puerto_Rico.svg.png
Maunabo,File:Locator-map-Puerto-Rico-Maunabo.svg,60px-Flag_of_Maunabo%2C_Puerto_Rico.svg.png,50px-Escudo_de_Maunabo%2C_Puerto_Rico.svg.png
Mayagüez,File:Locator-map-Puerto-Rico-Mayag%C3%BCez.svg,60px-Mayaguez-flag.svg.png,50px-Mayag%C3%BCez_seal.JPG
Moca,File:Locator-map-Puerto-Rico-Moca.svg,60px-Flag_of_Moca.svg.png,50px-Escudo_de_Moca%2C_Puerto_Rico.svg.png
Morovis,File:Locator-map-Puerto-Rico-Morovis.svg,60px-Bandera_de_Morovis%2C_Puerto_Rico.svg.png,50px-Escudo_de_Morovis%2C_Puerto_Rico.svg.png
Naguabo,File:Locator-map-Puerto-Rico-Naguabo.svg,60px-Bandera_de_Naguabo%2C_Puerto_Rico.svg.png,50px-Escudo_de_Naguabo%2C_Puerto_Rico.svg.png
Naranjito,File:Locator-map-Puerto-Rico-Naranjito.svg,60px-Flag_of_Naranjito%2C_Puerto_Rico.svg.png,50px-Escudo_de_Naranjito%2C_Puerto_Rico.svg.png
